id, price, product
0, 623.00, 小米 空气净化器2
1, 1266.00, 小米 米家空气净化器PRO
2, 2278.00, 飞利浦 AC4072
3, 1190.00, 美的 KJ210G-C46
4, 1342.00, 飞利浦 AC1210
5, 2063.00, 飞利浦 AC2880
6, 2519.00, 布鲁雅尔 270E
7, 587.00, 海尔 ZKJ-F15A1
8, 2615.00, 飞利浦 AC3252
9, 1367.00, 3M KJEA200E
10, 841.00, TCL TKJ-F220
11, 3380.00, 飞利浦 AC4375/00
12, 420.00, 小米 小米空气净化器
13, 1977.00, 海尔 KJ-F300/MFC
14, 935.00, 松下 F-PDF35C
15, 2526.00, 美的 KJ400G-E33
16, 1247.00, 3M KJ2025-SL
17, 2204.00, 亚都 KJ350G-S3D(ALI)
18, 214.00, 豪捷 H7
19, 4933.00, 飞利浦 AC6608
20, 1482.00, 海尔 KJ320F-EAA
21, 2097.00, TCL TKJ308F-A1
22, 3632.00, 布鲁雅尔 550E
23, 1121.00, 美的 KJ210G-C42
24, 2114.00, 布鲁雅尔 203
25, 3645.00, 布鲁雅尔 303
26, 1517.00, 夏普 KC-BB20-W
27, 1909.00, 大金 MC70KMV2
28, 1095.00, 松下 F-PXF35C
29, 2728.00, 飞利浦 AC2890
30, 2472.00, 松下 F-71C6VX-A
31, 1156.00, 海尔 KJ340F-EAA
32, 3735.00, 352 X80
33, 732.00, TCL TKJ200F-A1
34, 511.00, 三下 SX-500
35, 2680.00, 夏普 KC-WG605-W
36, 1380.00, TCL TKJ 300F-S1
37, 2819.00, 飞利浦 AC3254/00
38, 2006.00, 汉朗 TIFI01
39, 4520.00, AIRX A7
40, 1707.00, 夏普 KC-W200SW
41, 1695.00, 夏普 KC-BB30-W
42, 1837.00, 夏普 KC-F70
43, 4136.00, 夏普 KC-CG605-T
44, 3713.00, 汉朗 TIFG01-A
45, 435.00, 飞利浦 CP100
46, 3399.00, 贝昂 KJ300F-X3
47, 1799.00, 夏普 KC-BB60-W
48, 1266.00, 小米 米家空气净化器PRO
49, 2278.00, 飞利浦 AC4072
50, 1190.00, 美的 KJ210G-C46
51, 1342.00, 飞利浦 AC1210
52, 2063.00, 飞利浦 AC2880
53, 2519.00, 布鲁雅尔 270E
54, 587.00, 海尔 ZKJ-F15A1
55, 2615.00, 飞利浦 AC3252
56, 1367.00, 3M KJEA200E
57, 841.00, TCL TKJ-F220
58, 3380.00, 飞利浦 AC4375/00
59, 420.00, 小米 小米空气净化器
60, 1977.00, 海尔 KJ-F300/MFC
61, 935.00, 松下 F-PDF35C
62, 2526.00, 美的 KJ400G-E33
63, 1247.00, 3M KJ2025-SL
64, 2204.00, 亚都 KJ350G-S3D(ALI)
65, 214.00, 豪捷 H7
66, 4933.00, 飞利浦 AC6608
67, 1482.00, 海尔 KJ320F-EAA
68, 2097.00, TCL TKJ308F-A1
69, 3632.00, 布鲁雅尔 550E
70, 1121.00, 美的 KJ210G-C42
71, 2114.00, 布鲁雅尔 203
72, 3645.00, 布鲁雅尔 303
73, 1517.00, 夏普 KC-BB20-W
74, 1909.00, 大金 MC70KMV2
75, 1095.00, 松下 F-PXF35C
76, 2728.00, 飞利浦 AC2890
77, 2472.00, 松下 F-71C6VX-A
78, 1156.00, 海尔 KJ340F-EAA
79, 3735.00, 352 X80
80, 732.00, TCL TKJ200F-A1
81, 511.00, 三下 SX-500
82, 2680.00, 夏普 KC-WG605-W
83, 1380.00, TCL TKJ 300F-S1
84, 2819.00, 飞利浦 AC3254/00
85, 2006.00, 汉朗 TIFI01
86, 4520.00, AIRX A7
87, 1707.00, 夏普 KC-W200SW
88, 1695.00, 夏普 KC-BB30-W
89, 1837.00, 夏普 KC-F70
90, 4136.00, 夏普 KC-CG605-T
91, 3713.00, 汉朗 TIFG01-A
92, 435.00, 飞利浦 CP100
93, 3399.00, 贝昂 KJ300F-X3
94, 1799.00, 夏普 KC-BB60-W
95, 2531.00, 亚都 KJ455G-VT
96, 2278.00, 飞利浦 AC4072
97, 1190.00, 美的 KJ210G-C46
98, 1342.00, 飞利浦 AC1210
99, 2063.00, 飞利浦 AC2880
100, 2519.00, 布鲁雅尔 270E
101, 587.00, 海尔 ZKJ-F15A1
102, 2615.00, 飞利浦 AC3252
103, 1367.00, 3M KJEA200E
104, 841.00, TCL TKJ-F220
105, 3380.00, 飞利浦 AC4375/00
106, 420.00, 小米 小米空气净化器
107, 1977.00, 海尔 KJ-F300/MFC
108, 935.00, 松下 F-PDF35C
109, 2526.00, 美的 KJ400G-E33
110, 1247.00, 3M KJ2025-SL
111, 2204.00, 亚都 KJ350G-S3D(ALI)
112, 214.00, 豪捷 H7
113, 4933.00, 飞利浦 AC6608
114, 1482.00, 海尔 KJ320F-EAA
115, 2097.00, TCL TKJ308F-A1
116, 3632.00, 布鲁雅尔 550E
117, 1121.00, 美的 KJ210G-C42
118, 2114.00, 布鲁雅尔 203
119, 3645.00, 布鲁雅尔 303
120, 1517.00, 夏普 KC-BB20-W
121, 1909.00, 大金 MC70KMV2
122, 1095.00, 松下 F-PXF35C
123, 2728.00, 飞利浦 AC2890
124, 2472.00, 松下 F-71C6VX-A
125, 1156.00, 海尔 KJ340F-EAA
126, 3735.00, 352 X80
127, 732.00, TCL TKJ200F-A1
128, 511.00, 三下 SX-500
129, 2680.00, 夏普 KC-WG605-W
130, 1380.00, TCL TKJ 300F-S1
131, 2819.00, 飞利浦 AC3254/00
132, 2006.00, 汉朗 TIFI01
133, 4520.00, AIRX A7
134, 1707.00, 夏普 KC-W200SW
135, 1695.00, 夏普 KC-BB30-W
136, 1837.00, 夏普 KC-F70
137, 4136.00, 夏普 KC-CG605-T
138, 3713.00, 汉朗 TIFG01-A
139, 435.00, 飞利浦 CP100
140, 3399.00, 贝昂 KJ300F-X3
141, 1799.00, 夏普 KC-BB60-W
142, 2531.00, 亚都 KJ455G-VT
143, 3427.00, 富士通 ACSQ18EHA
144, 1190.00, 美的 KJ210G-C46
145, 1342.00, 飞利浦 AC1210
146, 2063.00, 飞利浦 AC2880
147, 2519.00, 布鲁雅尔 270E
148, 587.00, 海尔 ZKJ-F15A1
149, 2615.00, 飞利浦 AC3252
150, 1367.00, 3M KJEA200E
151, 841.00, TCL TKJ-F220
152, 3380.00, 飞利浦 AC4375/00
153, 420.00, 小米 小米空气净化器
154, 1977.00, 海尔 KJ-F300/MFC
155, 935.00, 松下 F-PDF35C
156, 2526.00, 美的 KJ400G-E33
157, 1247.00, 3M KJ2025-SL
158, 2204.00, 亚都 KJ350G-S3D(ALI)
159, 214.00, 豪捷 H7
160, 4933.00, 飞利浦 AC6608
161, 1482.00, 海尔 KJ320F-EAA
162, 2097.00, TCL TKJ308F-A1
163, 3632.00, 布鲁雅尔 550E
164, 1121.00, 美的 KJ210G-C42
165, 2114.00, 布鲁雅尔 203
166, 3645.00, 布鲁雅尔 303
167, 1517.00, 夏普 KC-BB20-W
168, 1909.00, 大金 MC70KMV2
169, 1095.00, 松下 F-PXF35C
170, 2728.00, 飞利浦 AC2890
171, 2472.00, 松下 F-71C6VX-A
172, 1156.00, 海尔 KJ340F-EAA
173, 3735.00, 352 X80
174, 732.00, TCL TKJ200F-A1
175, 511.00, 三下 SX-500
176, 2680.00, 夏普 KC-WG605-W
177, 1380.00, TCL TKJ 300F-S1
178, 2819.00, 飞利浦 AC3254/00
179, 2006.00, 汉朗 TIFI01
180, 4520.00, AIRX A7
181, 1707.00, 夏普 KC-W200SW
182, 1695.00, 夏普 KC-BB30-W
183, 1837.00, 夏普 KC-F70
184, 4136.00, 夏普 KC-CG605-T
185, 3713.00, 汉朗 TIFG01-A
186, 435.00, 飞利浦 CP100
187, 3399.00, 贝昂 KJ300F-X3
188, 1799.00, 夏普 KC-BB60-W
189, 2531.00, 亚都 KJ455G-VT
190, 3427.00, 富士通 ACSQ18EHA
191, 2833.00, 大金 MC71NV2C
192, 1342.00, 飞利浦 AC1210
193, 2063.00, 飞利浦 AC2880
194, 2519.00, 布鲁雅尔 270E
195, 587.00, 海尔 ZKJ-F15A1
196, 2615.00, 飞利浦 AC3252
197, 1367.00, 3M KJEA200E
198, 841.00, TCL TKJ-F220
199, 3380.00, 飞利浦 AC4375/00
200, 420.00, 小米 小米空气净化器
201, 1977.00, 海尔 KJ-F300/MFC
202, 935.00, 松下 F-PDF35C
203, 2526.00, 美的 KJ400G-E33
204, 1247.00, 3M KJ2025-SL
205, 2204.00, 亚都 KJ350G-S3D(ALI)
206, 214.00, 豪捷 H7
207, 4933.00, 飞利浦 AC6608
208, 1482.00, 海尔 KJ320F-EAA
209, 2097.00, TCL TKJ308F-A1
210, 3632.00, 布鲁雅尔 550E
211, 1121.00, 美的 KJ210G-C42
212, 2114.00, 布鲁雅尔 203
213, 3645.00, 布鲁雅尔 303
214, 1517.00, 夏普 KC-BB20-W
215, 1909.00, 大金 MC70KMV2
216, 1095.00, 松下 F-PXF35C
217, 2728.00, 飞利浦 AC2890
218, 2472.00, 松下 F-71C6VX-A
219, 1156.00, 海尔 KJ340F-EAA
220, 3735.00, 352 X80
221, 732.00, TCL TKJ200F-A1
222, 511.00, 三下 SX-500
223, 2680.00, 夏普 KC-WG605-W
224, 1380.00, TCL TKJ 300F-S1
225, 2819.00, 飞利浦 AC3254/00
226, 2006.00, 汉朗 TIFI01
227, 4520.00, AIRX A7
228, 1707.00, 夏普 KC-W200SW
229, 1695.00, 夏普 KC-BB30-W
230, 1837.00, 夏普 KC-F70
231, 4136.00, 夏普 KC-CG605-T
232, 3713.00, 汉朗 TIFG01-A
233, 435.00, 飞利浦 CP100
234, 3399.00, 贝昂 KJ300F-X3
235, 1799.00, 夏普 KC-BB60-W
236, 2531.00, 亚都 KJ455G-VT
237, 3427.00, 富士通 ACSQ18EHA
238, 2833.00, 大金 MC71NV2C
239, 2657.00, 安美瑞 KJ5000
