secID,publishDate,endDate,endDateRep,partyID,ticker,secShortName,exchangeCD,actPubtime,mergedFlag,reportType,fiscalPeriod,accoutingStandards,currencyCD,CFrSaleGS,NDeposIncrCFI,NIncrBorrFrCB,NIncBorrOthFI,premFrOrigContr,NReinsurPrem,NIncPhDeposInv,NIncDispTradFA,IFCCashIncr,NIncFrBorr,NCApIncrRepur,refundOfTax,CFrOthOperateA,CInfFrOperateA,CPaidGS,NIncDisburOfLA,NIncrDeposInFI,origContrCIndem,CPaidIFC,CPaidPolDiv,CPaidToForEmpl,CPaidForTaxes,CPaidForOthOpA,COutfOperateA,NCFOperateA,procSellInvest,gainInvest,dispFixAssetsOth,NDispSubsOthBizC,CFrOthInvestA,CInfFrInvestA,purFixAssetsOth,CPaidInvest,NIncrPledgeLoan,NCPaidAcquis,CPaidOthInvestA,COutfFrInvestA,NCFFrInvestA,CFrCapContr,CFrMinoSSubs,CFrBorr,CFrIssueBond,CFrOthFinanA,CInfFrFinanA,CPaidForDebts,CPaidDivProfInt,divProfSubsMinoS,CPaidOthFinanA,COutfFrFinanA,NCFFrFinanA,forexEffects,NChangeInCash,NCEBegBal,NCEEndBal
000848.XSHE,2018-03-17,2017-12-31,2017-12-31,395,000848,承德露露,XSHE,2018-03-16 20:35:55,1,A,12,CHAS_2007,CNY,2166810589.51,,,,,,,,,,,400041.0,46853457.32,2214064087.83,1281056934.65,,,,,,169265197.81,332984229.37,281972222.22,2065278584.05,148785503.78,,,825201.0,,,825201.0,14404097.81,,,,,14404097.81,-13578896.81,,,,,,,,391425091.2,,,391425091.2,-391425091.2,,-256218484.23,2161877794.1,1905659309.87
000848.XSHE,2018-03-17,2016-12-31,2017-12-31,395,000848,承德露露,XSHE,2018-03-16 20:35:55,1,A,12,CHAS_2007,CNY,3067535323.6,,,,,,,,,,,1050304.0,26567136.08,3095152763.68,1368897525.97,,,,,,158855489.76,381168041.27,354749675.98,2263670732.98,831482030.7,,,245594.0,,,245594.0,14467551.75,7000000.0,,,,21467551.75,-21221957.75,,,,,,,,150548112.0,,,150548112.0,-150548112.0,,659711960.95,1502165833.15,2161877794.1
000848.XSHE,2017-04-28,2015-12-31,2016-12-31,395,000848,承德露露,XSHE,2017-04-27 20:21:25,1,A,12,CHAS_2007,CNY,3234243105.88,,,,,,,,,,,497878.0,31987505.12,3266728489.0,1550209493.9,,,,,,154035056.45,344349266.57,422505644.85,2471099461.77,795629027.23,,,595361.1,,,595361.1,53077007.94,,,,,53077007.94,-52481646.84,,,,,,,,106890408.0,6525000.0,,106890408.0,-106890408.0,,636256972.39,865908860.76,1502165833.15
000848.XSHE,2016-03-11,2014-12-31,2015-12-31,395,000848,承德露露,XSHE,2016-03-10 19:04:42,1,A,12,CHAS_2007,CNY,2793163165.1,,,,,,,,,,,4693392.0,25014357.74,2822870914.84,1597640426.77,,,,,,146295881.77,359135903.27,390247482.73,2493319694.54,329551220.3,,,54510.0,,,54510.0,29687805.53,,,,,29687805.53,-29633295.53,,,,,,,,149211571.2,8700000.0,,149211571.2,-149211571.2,,150706353.57,715202507.19,865908860.76
000848.XSHE,2015-03-20,2013-12-31,2014-12-31,395,000848,承德露露,XSHE,2015-03-19 20:40:08,1,A,12,CHAS_2007,CNY,3138807963.11,,,,,,,,,,,3253806.45,21832731.7,3163894501.26,1939769112.47,,,,,,136353504.22,321887749.34,452226390.72,2850236756.75,313657744.51,,,,,,0.0,23242379.82,,,,,23242379.82,-23242379.82,,,,,,0.0,,126238489.6,,,126238489.6,-126238489.6,,164176875.09,551025632.1,715202507.19
000848.XSHE,2014-03-12,2012-12-31,2013-12-31,395,000848,承德露露,XSHE,2014-03-11 17:45:34,1,A,12,CHAS_2007,CNY,2398163914.25,,,,,,,,,,,697472.0,15497760.03,2414359146.28,1424022539.18,,,,,,112627317.19,223121686.75,327347647.93,2087119191.05,327239955.23,,,74790.31,,,74790.31,155715143.58,,,,,155715143.58,-155640353.27,,,,,,,,182482560.0,,,182482560.0,-182482560.0,,-10882958.04,561908590.14,551025632.1
000848.XSHE,2013-04-20,2011-12-31,2012-12-31,395,000848,承德露露,XSHE,2013-04-19 18:00:00,1,A,12,CHAS_2007,CNY,2268369206.55,,,,,,,,,,,300308.0,10882881.2,2279552395.75,1416122751.45,,,,,,91368643.68,164744657.05,274898825.58,1947134877.76,332417517.99,,,59679.0,,,59679.0,60183637.72,,,,,60183637.72,-60123958.72,,,,,,,,182482560.0,,,182482560.0,-182482560.0,,89810999.27,472097590.87,561908590.14
000848.XSHE,2012-04-26,2010-12-31,2011-12-31,395,000848,承德露露,XSHE,2012-04-25 18:00:00,1,A,12,CHAS_2007,CNY,2297517575.06,,,,,,,,,,,300402.0,1212580.94,2299030558.0,1442295370.63,,,,,,80707232.35,184269953.05,275246255.92,1982518811.95,316511746.05,,,295100.0,,3544791.86,3839891.86,47698246.88,,,,,47698246.88,-43858355.02,,,,,,,,78934400.0,,66754.83,79001154.83,-79001154.83,,193652236.2,278445354.67,472097590.87
000848.XSHE,2011-03-31,2009-12-31,2010-12-31,395,000848,承德露露,XSHE,2011-03-30 18:00:00,1,A,12,CHAS_2007,CNY,1609065635.64,,,,,,,,,,,166387.0,1071674.5,1610303697.14,940334390.9,,,,,,49675524.52,131312464.24,199120275.23,1320442654.89,289861042.25,,,363185.0,,1549513.64,1912698.64,27293959.19,,,,,27293959.19,-25381260.55,,,,,,,50000000.0,79908400.0,3625000.0,49531.09,129957931.09,-129957931.09,,134521850.61,143923504.06,278445354.67
000848.XSHE,2010-04-24,2008-12-31,2009-12-31,395,000848,承德露露,XSHE,2010-04-23 18:00:00,1,A,12,CHAS_2007,CNY,1773881308.84,,,,,,,,,,,155879.0,4379145.13,1778416332.97,1207866963.27,,,,,,53836703.52,150486389.79,198494273.8,1610684330.38,167732002.59,,,145000.0,,1522557.42,1667557.42,5995052.58,,,,,5995052.58,-4327495.16,,,100000000.0,,,100000000.0,200000000.0,92325410.04,,16300982.38,308626392.42,-208626392.42,,-45221884.99,189145389.05,143923504.06
000848.XSHE,2009-03-24,2007-12-31,2008-12-31,395,000848,承德露露,XSHE,2009-03-23 18:00:00,1,A,12,CHAS_2007,CNY,1619317247.87,,,,,,,,,,,58707.0,3529382.39,1622905337.26,1077095437.46,,,,,,51148016.82,163613859.47,192359405.21,1484216718.96,138688618.3,15000000.0,,7150937.83,,1169264.21,23320202.04,6473782.01,,,,90000000.0,96473782.01,-73153579.97,,,270000000.0,,,270000000.0,370000000.0,44338595.63,11866511.61,57747.7,414396343.33,-144396343.33,,-78861305.0,268006694.05,189145389.05
